parcela;idade;hdom;ab;vtcc;s
250;39,22;20,34;22,72;192,56;27,5
250;50;23,16;26,12;250,94;27,5
250;62,48;27,1;29,56;334,51;27,5
251;39,22;20,4;22,05;180,57;27,5
251;50;22,56;25,43;232,16;27,5
251;62,48;27,08;28,37;313,99;27,5
252;25,89;13,2;8,26;42,21;27,5
252;39,22;19,28;16,09;112,48;27,5
252;50;22,56;19,16;170,4;27,5
252;62,48;27,24;21,72;236,47;27,5
253;39,22;21,4;22,33;195,24;29,5
253;50;23,24;25,67;242,08;29,5
253;62,48;27,78;29,26;331,1;29,5
254;25,95;11,84;7,18;33,48;27,5
254;38,11;18,22;15,93;116,71;27,5
254;49,54;24,1;20,61;203,02;27,5
255;38,11;20,24;17,85;143,97;29,5
255;49,54;25,48;21,68;221,01;29,5
256;25,82;14,88;14,79;88,97;29,5
256;37,98;21,24;22,24;192,91;29,5
256;49,41;26,1;26,3;277,41;29,5
257;25,82;11,84;9,08;49,34;29,5
257;37,98;19,74;16,66;130,29;29,5
257;49,41;24,6;21,04;210,53;29,5
258;24,61;9,44;4,28;14,86;23,5
258;36,76;14,48;9,68;55,16;23,5
259;24,7;13,86;9,96;57,61;29,5
259;36,86;19,04;21,66;169,85;29,5
259;48,29;25,32;27,07;279,92;29,5
260;24,64;13,64;8,31;45,3;29,5
260;36,79;19,1;16,6;127,96;29,5
260;48,23;24,3;21,43;207,64;29,5
261;23,72;12,7;9,57;48,67;29,5
261;35,87;19,16;18,24;140,81;29,5
261;47,31;23,78;24,2;230,49;29,5
262;35,87;16,34;11,06;68,59;25,5
262;47,31;20,96;15,4;125,21;25,5
263;23,46;11,34;5,61;24,75;25,5
263;35,61;15,94;10,43;62,15;25,5
263;47,04;20,3;14,54;114,77;25,5
264;35,61;18,88;14,41;106,36;29,5
264;47,04;23,68;18,22;171,51;29,5
265;35,48;19,96;15,7;119,32;29,5
265;46,91;24,92;20,87;206,68;29,5
266;23,46;10,84;5,92;26,08;27,5
266;35,61;15,88;11,43;70,36;27,5
266;47,04;22,2;15,46;135,39;27,5
267;37,52;18,38;16,24;116,68;27,5
267;48,95;23,24;20,66;193,46;27,5
268;25,33;11,84;8,04;37,91;27,5
268;37,48;17,04;15,03;100,58;27,5
268;48,92;22,74;21,12;190,05;27,5
269;25,33;11,3;6,68;27,29;25,5
269;37,48;15,86;12,25;76,91;25,5
269;48,92;20,3;16,82;136,24;25,5
270;24,18;12,2;6,78;29,45;27,5
270;36,33;18,7;13,79;93,45;27,5
270;47,77;22,68;20,04;170,18;27,5
271;25,39;10,14;6,35;26,99;27,5
271;37,55;16,6;13,62;91,06;27,5
271;48,98;22,56;20,8;191,38;27,5
272;25,3;11,86;7,55;34,92;27,5
272;37,45;17,6;14,92;107,1;27,5
272;48,88;22,72;20,09;186,72;27,5
273;26,15;11,96;7,54;39,34;27,5
273;38,27;18,5;14,47;113,87;27,5
273;50,16;21,98;18,36;163,32;27,5
274;26,15;12,46;10,01;53,8;27,5
274;38,27;18,9;17,56;138,36;27,5
274;50,16;22,32;21,3;191,93;27,5
275;26,22;13,96;11,66;66,1;29,5
275;38,34;20,28;19,98;163,8;29,5
275;50,23;23,88;24,33;231,05;29,5
276;26,28;17,5;17,27;119,89;31,5
276;40,37;24,66;26,02;258,89;31,5
276;50,85;28,44;30,08;346,91;31,5
277;40,37;23,91;24,66;241,57;31,5
277;50,85;27,53;28,66;310,84;31,5
278;40,37;23,24;26,65;252,68;31,5
278;50,85;27,3;32,31;351,6;31,5
279;26,18;15,66;14,34;90,71;31,5
279;40,28;23,09;24,19;231,71;31,5
279;50,76;27,5;28,61;320,57;31,5
280;40,28;23,52;25,63;242,95;31,5
280;50,76;28,14;30,78;343,09;31,5
281;26,05;15,4;18,47;108,56;29,5
282;26,05;16;15,02;100,77;31,5
282;40,14;22,3;23,35;205,29;31,5
282;50,62;26,94;27,15;295,21;31,5
283;40,14;21,88;22,89;204,28;29,5
283;50,62;26,02;28,18;289,42;29,5
284;25,92;15,14;14,61;96,23;31,5
284;40,01;22,88;22,99;219,27;31,5
284;50,49;26,8;26,66;289,98;31,5
285;40,01;21,58;24,43;213,5;29,5
285;50,49;26,38;28,38;307,92;29,5
286;30,55;14,66;12,96;78,26;27,5
286;43,69;21,56;19,4;162,09;27,5
287;43,73;20,72;19,58;168,25;27,5
288;33,61;13,4;11,73;65,93;25,5
288;46,75;19,72;18,28;148,44;25,5
289;30,55;13,68;13,14;76,32;25,5
289;43,69;19,86;19,31;159,01;25,5
290;30,62;14,28;13,16;80,25;27,5
290;43,76;21,38;19,78;175,03;27,5
291;30,65;13,7;11,84;73,05;27,5
291;43,79;21,34;18,83;167,15;27,5
292;21,32;14,7;12,36;78,32;31,5
292;34,46;21,46;20,3;180,53;31,5
293;34,46;21,34;20,11;179,25;31,5
294;25,82;11,88;7,97;39,46;27,5
294;38,96;18,6;15,31;114,64;27,5
295;31,93;15,16;11,18;70,21;27,5
295;46,39;20,46;18,93;167,23;27,5
295;56,77;23,57;22,25;238,64;27,5
295;67,9;25,9;25,09;285,36;27,5
296;46,39;20,68;16,74;153,04;25,5
296;56,77;23,6;19,37;200,18;25,5
296;67,9;25,2;21,33;227,99;25,5
297;32,56;15,02;10,56;69,89;25,5
297;47,01;21,22;17,14;158,44;25,5
297;57,39;23,64;20,1;214,76;25,5
297;68,53;25,46;22,75;254,8;25,5
298;32,56;15,8;10,82;73,61;25,5
298;47,01;19,76;18,07;155,22;25,5
298;57,39;23,42;21,2;221,37;25,5
298;68,53;25,57;23,65;264,57;25,5
299;47,01;20,36;18,72;165,36;25,5
299;57,39;22,7;21,24;225,55;25,5
299;68,53;24,83;24,82;273,75;25,5
300;47,01;21,46;17,83;174,04;27,5
300;57,39;24,17;20,95;224,92;27,5
300;68,53;27,88;23,83;287,71;27,5
301;25,66;13,3;9,56;56,37;27,5
301;40,11;19,68;15,85;137,56;27,5
301;50,49;23;18,24;186,77;27,5
301;61,63;26,13;20,68;232,62;27,5
302;40,11;17,12;14,68;107,79;25,5
302;50,49;20,35;18,04;164,92;25,5
302;61,63;24,52;20,58;213,34;25,5
303;26,45;15,46;11,48;76,65;29,5
303;36,73;18,86;17,61;147,53;29,5
303;50,56;24,2;23,11;242,94;29,5
303;62,39;27,12;26,56;305,14;29,5
304;27,3;14,36;12,35;69,84;27,5
304;37,58;17,98;19,91;152,99;27,5
304;51,41;24,06;26,67;278,81;27,5
304;63,24;27,08;30,16;344,69;27,5
305;37,58;16,8;18,23;138,77;27,5
305;51,41;22,76;24,36;250,49;27,5
305;63,24;27,22;27,84;322,06;27,5
306;27,3;11,98;8,65;45,5;25,5
306;37,58;16,18;13,7;97,27;25,5
306;51,41;20,6;19,85;179,83;25,5
306;63,24;23,64;23,21;238,58;25,5
307;37,58;13,58;11,08;66,28;23,5
307;51,41;18,74;16,28;127,81;23,5
307;63,24;21,46;19,67;175,61;23,5
308;27,17;10,52;6,8;31,22;25,5
308;37,45;15,3;12,41;83,96;25,5
308;51,28;20,33;19,05;167,26;25,5
308;63,11;23,84;23,22;232,63;25,5
309;23,39;12,12;8,09;43,3;25,5
309;35,41;16,26;14,25;103,32;25,5
309;48,92;21,56;20,24;188,89;25,5
309;60,02;24,17;22,67;247,12;25,5
309;72,37;26,88;25,1;291,72;25,5
309;83,87;28,3;26,36;315,56;25,5
310;23,39;12,82;11,16;66,56;27,5
310;35,41;18,46;18,65;160,85;27,5
310;48,92;23,92;26,3;278,07;27,5
310;60,02;25,23;29,68;335,53;27,5
310;72,37;27,93;34,41;405,97;27,5
310;83,87;30,3;36,78;471,98;27,5
311;22,47;12,84;8,18;42,81;27,5
311;34,33;17,46;13,65;99,75;27,5
311;47,83;21,32;21,03;195,86;27,5
311;58,71;26,52;24,43;257,29;27,5
311;70,76;28,75;26,71;312,91;27,5
311;81,57;29,45;28,79;359,22;27,5
312;22,47;13,2;10,41;61,8;29,5
312;34,33;18,4;17,14;138,03;29,5
312;47,83;24,08;23,02;238,31;29,5
312;58,71;26,6;26,3;309,69;29,5
312;70,76;28,85;29,5;377,89;29,5
312;81,57;30,35;31,95;428,67;29,5
313;22,47;12,84;10,22;59,22;27,5
313;34,33;17,46;17,61;135,85;27,5
313;47,83;24,1;25,16;284,22;27,5
313;58,71;25,8;27,47;310,75;27,5
313;70,76;28,47;29,47;364,2;27,5
313;81,57;29,13;31,62;399,25;27,5
314;23,46;14,86;14,55;88,6;29,5
314;35,32;20,46;23,85;209,56;29,5
314;48,82;24,06;32,48;318,9;29,5
314;59,69;27,8;36,45;420,72;29,5
314;71,75;29,83;39,97;508,34;29,5
314;82,56;31;41,18;538,13;29,5
315;23,46;13,88;8,91;53,5;29,5
315;35,32;19,3;15,58;128,04;29,5
315;48,82;25,42;23,88;264,76;29,5
315;59,69;28,13;27,24;338,16;29,5
315;71,75;30,73;29,73;410,84;29,5
315;82,56;31,8;32,21;448,94;29,5
316;23,46;11,9;7,88;39,59;27,5
316;35,32;17,1;14,28;105,74;27,5
316;48,82;24,36;21,96;228,22;27,5
316;59,69;26,63;25,58;295,04;27,5
316;71,75;29,13;27,98;369,98;27,5
316;82,56;30,7;30,04;403,18;27,5
317;22,17;14,16;10,44;53,97;29,5
317;35,05;21,82;20,21;173,55;29,5
317;46,68;24,6;24,98;247,5;29,5
317;61,17;29,25;29,69;365,25;29,5
317;69,84;29,45;32,12;395,37;29,5
317;82,19;31,25;34,01;428,73;29,5
317;86,53;32,7;34,68;451,17;29,5
318;22,17;14,26;11,3;71,84;29,5
318;35,05;20,8;22,13;195,27;29,5
318;46,68;26,4;28,17;317,99;29,5
318;61,17;28,93;33,3;402,24;29,5
318;69,84;30,33;37,7;483,19;29,5
318;82,19;31,7;40,11;535,27;29,5
318;86,53;32,35;40,94;556,39;29,5
319;22,17;13,76;10,81;61,37;29,5
319;35,05;19,1;22,01;180,8;29,5
319;46,68;23,48;27,46;275,75;29,5
319;61,17;28,27;33,14;407,05;29,5
319;69,84;30,92;36,72;473,25;29,5
319;82,19;32,3;39,16;533,23;29,5
319;86,53;32,65;40,2;558,1;29,5
320;22,17;14,08;10,86;64,71;31,5
320;35,05;19,92;19,7;161,13;31,5
320;46,68;24,5;23,81;249,89;31,5
320;61,17;28,48;28,41;334,96;31,5
320;69,84;31,38;31,78;386,85;31,5
321;22,17;15,5;11,5;78,09;29,5
321;35,05;20,6;22,47;189,35;29,5
321;46,68;24,4;27,83;281,52;29,5
321;61,17;28,48;33,56;419,72;29,5
321;69,84;30,5;37,09;493,97;29,5
321;82,19;31,23;38,49;511,4;29,5
321;86,53;32,8;38,66;521,97;29,5
322;46,81;17,85;15,65;110,78;23,5
322;58,41;20,9;19,38;168,53;23,5
322;67,81;24,32;22,01;218,62;23,5
323;46,81;18,08;17,93;133,69;25,5
323;58,41;20,8;21,73;194,33;25,5
323;67,81;24,9;24,67;252,63;25,5
324;24,01;15,19;14,66;92,21;29,5
324;37,02;21,4;23,66;204,65;29,5
324;49,67;24,45;30,05;300,7;29,5
324;61,27;27,67;32,66;390,43;29,5
324;70,66;29,63;36,59;451,87;29,5
325;37,02;19,97;19,64;163,07;29,5
325;49,67;23,2;26,14;247,26;29,5
325;61,27;26,15;29,41;317,8;29,5
325;70,66;28,92;32,45;373,83;29,5
326;25,1;13,02;10,81;61,27;27,5
326;38,11;19,4;18,34;148,44;27,5
326;50,76;22,27;24,53;219,49;27,5
326;62,35;26,08;27,33;294,77;27,5
326;71,75;27,23;29,77;324,53;27,5
327;38,11;19,32;21,32;170,28;27,5
327;50,76;22,95;27,46;249,72;27,5
327;62,35;26,42;29,78;319,77;27,5
327;71,75;28,25;32,8;368,88;27,5
328;27,86;16,06;14,47;96,44;29,5
328;41,13;21,46;23,19;199,59;29,5
328;51,68;26,7;27,32;321,55;29,5
328;64,32;28,18;31,28;370,28;29,5
328;73,36;30,05;32,57;392,56;29,5
329;27,86;13,8;11,18;67,19;29,5
329;41,13;21,86;19,97;188;29,5
329;51,68;25,5;24,22;265,05;29,5
329;64,32;28,48;28,24;332,31;29,5
329;73,36;29,98;29,76;367,98;29,5
330;41,13;21,88;24,78;206,39;29,5
330;51,68;25,18;28,9;322,24;29,5
330;64,32;28,05;32,45;394,78;29,5
330;73,36;30,18;33,08;418,92;29,5
331;27,73;13,16;11;57;29,5
331;41;19,62;19,09;144,29;29,5
331;51,54;25,42;23,73;262,57;29,5
331;64,19;27,18;28,33;326,61;29,5
331;73,23;30,02;31,35;383,47;29,5
332;27,73;11,86;8,81;46,35;27,5
332;41;17,12;16,14;117,41;27,5
332;51,54;22,76;20,29;207,8;27,5
332;64,19;24,93;23,48;247,05;27,5
332;73,23;27,15;25,85;284,1;27,5
333;41;17,92;16,47;128,05;27,5
333;51,54;23,1;20,49;205,23;27,5
333;64,19;25,95;24,14;259,26;27,5
333;73,23;28,95;26,96;317,91;27,5
334;28,78;15,88;14,73;101,4;29,5
334;42,05;22;22,75;219,83;29,5
334;52,6;24,7;26,93;290,98;29,5
334;65,24;27,8;30,39;358,92;29,5
334;74,28;29,45;32,98;399,45;29,5
335;42,05;22,26;21,99;200,04;29,5
335;52,6;23,72;26,26;274,85;29,5
335;65,24;27,27;29,52;335,01;29,5
335;74,28;29,63;32,31;386,32;29,5
336;25,76;14,1;12,12;64,76;29,5
336;39,03;23,02;20,07;181,76;29,5
336;49,57;26,08;23,47;256,59;29,5
336;62,22;27,52;26,05;289,21;29,5
336;71,25;28,95;27,19;315,91;29,5
337;39,03;20,36;24,09;206,59;27,5
337;49,57;25,76;29,19;326,07;27,5
337;62,22;27,02;33;374,99;27,5
337;71,25;27,18;36,04;410,21;27,5
338;27,69;13,84;11,98;74,56;27,5
338;40,97;22,12;20,67;192,94;27,5
338;51,51;24,3;25,42;280,58;27,5
338;64,16;27,68;29,16;347,81;27,5
338;73,19;28,27;31,36;376,98;27,5
339;40,97;20,2;20,37;175,01;27,5
339;51,51;23,62;24,7;260,29;27,5
339;64,16;27,48;27,85;325,02;27,5
339;73,19;28,85;29,23;352,96;27,5
340;28,75;13,56;12,38;73,96;27,5
340;42,02;20,16;20,75;160,54;27,5
340;52,56;24,5;24,72;273,07;27,5
340;65,21;27,48;27,73;326,42;27,5
340;74,24;28,15;29,7;349,7;27,5
341;42,02;20,82;22;193,33;27,5
341;52,56;25;25,86;296,54;27,5
341;65,21;27,45;29,49;344,86;27,5
341;74,24;28,77;31,41;380,75;27,5
342;27,69;12,7;10,31;56,39;25,5
342;40,97;17,6;17,15;129,6;25,5
342;51,51;23,06;21,35;219,38;25,5
342;64,16;24,18;25,04;266,34;25,5
342;73,19;26,33;27,27;298,77;25,5
343;40,97;16;12,78;88,12;25,5
343;51,51;22,5;16,47;168,68;25,5
343;64,16;23,53;19,96;199,27;25,5
343;73,19;24,63;21,88;217,22;25,5
344;24,87;15,06;12,58;83,53;29,5
344;38,14;20,26;23,96;192,51;29,5
344;48,69;26,06;28,54;309,91;29,5
344;61,33;28,3;31,16;354,03;29,5
344;70,37;28,85;34,06;391,38;29,5
345;24,87;15,9;11,84;82,25;27,5
345;38,14;19,16;19,63;140,42;27,5
345;48,69;25,24;22,78;236,61;27,5
345;61,33;25,63;25,25;264,45;27,5
345;70,37;26,73;27,07;285,94;27,5
346;24,87;12,92;9,78;48,46;29,5
346;38,14;21,36;20,64;169,14;29,5
346;48,69;24,32;25,86;273,88;29,5
346;61,33;27,23;31,06;360,47;29,5
346;70,37;29,93;33,74;411,37;29,5
347;24,87;13,6;13,26;81,06;29,5
347;38,14;21,06;25,35;183,74;29,5
347;48,69;24,56;31,2;322,78;29,5
347;61,33;26,83;35,78;412,83;29,5
347;70,37;29,17;39,57;479,5;29,5
348;25,13;14,5;12,95;82,71;29,5
348;38,76;22,02;22,75;208,18;29,5
348;49,21;24,85;27,36;276,55;29,5
348;61,33;27,83;29,86;362,1;29,5
348;72,9;29,08;31,82;390,21;29,5
348;81,18;31,3;33,37;431,48;29,5
349;25,13;14,15;13,76;86,26;29,5
349;38,76;21,45;24,24;210,92;29,5
349;49,21;26,2;29,52;317,35;29,5
349;61,33;27,38;34,01;404,89;29,5
349;72,9;29,35;36,44;446,08;29,5
349;81,18;31,33;37,62;488,42;29,5
350;38,76;22,72;23,85;224,94;29,5
350;49,21;24,5;28,21;298,87;29,5
350;61,33;27,7;31,82;398,63;29,5
350;72,9;29,4;34,3;425,78;29,5
350;81,18;31,38;35,08;465,37;29,5
351;24,93;12,07;10,06;54,07;27,5
351;38,57;19,65;19,76;158,73;27,5
351;49,01;22,8;24,3;224,62;27,5
351;61,14;26,6;28,02;310,42;27,5
351;72,7;29,5;31,16;370,88;27,5
351;80,98;29,73;32,52;391,65;27,5
352;24,93;14,57;15,77;101,8;29,5
352;38,57;21,27;25,85;228,46;29,5
352;49,01;26,77;30,63;342;29,5
352;61,14;28,5;34,92;434,85;29,5
352;72,7;30,05;37,81;479,7;29,5
352;80,98;30,83;39,07;509,25;29,5
353;25,72;12,86;10,35;59,86;27,5
353;38,47;18,88;19,64;161,3;27,5
353;62,98;26,55;29,43;345,62;27,5
353;79,3;30,02;32,48;413,45;27,5
354;38,47;22,36;26,12;247,85;31,5
354;62,98;28,95;35,41;441,47;31,5
354;79,3;31,85;38,3;514,89;31,5
355;24,47;13,6;11,77;66,49;29,5
356;26,15;10,84;6,85;33,77;25,5
357;28,32;14,54;14,79;88,42;27,5
358;28,29;13,46;14,83;87,58;27,5
359;29,17;14,58;16,75;102,31;27,5
360;24,84;13;9,95;58,98;27,5
360;40,6;20,74;22,83;203,51;27,5
360;48,65;22,64;26,58;267,87;27,5
360;61,47;25,93;29,45;340,07;27,5
360;75;29,6;33,17;429,72;27,5
361;40,6;19,28;23,92;195,72;29,5
361;48,65;23,04;28,71;280,7;29,5
361;61,47;27,02;32,72;372,08;29,5
361;75;31,02;36,67;476,49;29,5
362;25,79;11,62;7,58;41,09;27,5
362;41,56;18,66;16,82;142,56;27,5
362;49,61;20,5;19,66;181,25;27,5
362;62,42;25,05;22,6;247,65;27,5
362;75,95;28,27;25,53;315,5;27,5
363;41,56;21,38;21,57;194,39;29,5
363;49,61;23,72;25,04;255,53;29,5
363;62,42;27,73;28,81;334,64;29,5
363;75,95;30,8;31,7;402,4;29,5
364;41,56;20,2;18,47;155,93;27,5
364;49,61;22,74;21,75;209,98;27,5
364;62,42;26,15;25,52;280,68;27,5
364;75,95;29,15;29,27;359,68;27,5
365;29,24;15,5;12,66;83,63;27,5
366;29,24;13,24;9,82;55,19;25,5
367;26,22;13,7;9,38;50,59;27,5
368;26,08;14,92;13,86;87,51;29,5
369;25,3;15,4;12,71;83,2;27,5
369;38,01;20,5;20,79;178,26;27,5
369;49,84;23,15;25,01;249,99;27,5
369;61,1;26;27,27;311,23;27,5
370;38,01;21,45;20,17;174,32;29,5
370;49,84;23,48;24,97;247,06;29,5
370;61,1;27,02;28,23;329,02;29,5
371;23,65;14,07;9,82;58,1;29,5
371;36,37;19,35;19,89;170,06;29,5
371;48,19;22,85;24,13;232,29;29,5
371;59,46;25,52;26,19;289,69;29,5
372;36,37;18,82;19,8;162,71;27,5
372;48,19;21,88;23,54;211,61;27,5
372;59,46;25,15;25,52;277,99;27,5
373;23,62;13,38;11,03;63,19;29,5
373;36,33;20,52;20,92;178,54;29,5
373;48,16;22,98;25,18;240,25;29,5
373;59,43;25,63;26,89;301,36;29,5
374;36,33;18,63;18,51;151,17;27,5
374;48,16;21,4;22,87;202,65;27,5
374;59,43;25;25,1;269,19;27,5
375;20,76;12,55;11,47;59,61;29,5
375;32,33;18,26;19,82;149,06;29,5
375;45,57;24,2;27,12;272,98;29,5
375;70,66;30,6;32,2;425,96;29,5
376;20,76;11,32;10,99;50,36;29,5
376;32,33;16,7;18,69;123,33;29,5
376;45,57;24,15;25,63;246,33;29,5
376;70,66;30,67;30,45;383,61;29,5
377;20,76;11,13;11,97;55,29;29,5
377;32,33;17,32;20,85;134;29,5
377;45,57;23,97;27,67;243,25;29,5
377;70,66;29,98;32,25;389,37;29,5
378;20,5;11,13;9,82;46,49;29,5
378;32,06;17;18,43;130,11;29,5
378;45,3;23,72;25,48;251,77;29,5
378;70,4;29,3;29,59;372,28;29,5
379;28,55;16,1;17,39;115,71;29,5
379;40,51;22,4;26,12;238,59;29,5
380;28,78;15,06;13,37;82,6;27,5
380;40,74;20,32;20,8;170;27,5
381;27,66;14,76;13,69;85,49;29,5
381;39,62;20,86;19,76;172,6;29,5
382;27,92;11,83;9,31;49,89;25,5
382;39,09;17,08;15,69;111,26;25,5
383;25,36;15,1;10,61;63,99;29,5
383;36,53;19,47;16,61;132,89;29,5
384;25,49;14,7;13,36;80,52;29,5
384;36,66;20,36;20,52;172,62;29,5
385;27,37;15,22;13,7;84,35;29,5
385;38,53;20,68;21,22;182,22;29,5
386;25,59;13,14;11,54;65,17;27,5
386;36,76;18,94;20,22;156,13;27,5
387;20,66;13,4;12,08;63,1;29,5
387;33,25;19,86;20,59;168,33;29,5
387;44,91;24,14;26,37;252,87;29,5
387;57,69;27,53;29,09;322,57;29,5
387;69,38;29,69;32,25;360,64;29,5
388;20,66;13,32;11,37;63,7;29,5
388;33,25;19,58;21,53;175,61;29,5
388;44,91;21,42;26,92;237,32;29,5
388;57,69;26,4;30,47;332,71;29,5
388;69,38;28,78;35,1;420,77;29,5
389;20,66;12,56;8,98;47,06;29,5
389;33,25;18;18,6;143,58;29,5
389;44,91;20,44;23,81;204,06;29,5
389;57,69;26,06;27,24;297,26;29,5
389;69,38;28,86;30,37;357,19;29,5
390;33,25;18,36;21,47;166,13;29,5
390;44,91;22,58;27,75;261,75;29,5
390;57,69;27,18;32,22;359,53;29,5
390;69,38;29,14;36,16;430,32;29,5
391;23,95;13,34;10,52;59,07;27,5
391;37,42;18,73;20,87;161,38;27,5
392;22,86;12,3;8,29;42,51;27,5
392;36,33;17,92;17,86;129,57;27,5
393;22,9;11,92;9,27;47,23;27,5
393;36,37;18,3;17,19;128,36;27,5
394;22,83;13;10,51;58,33;29,5
394;36,3;19,2;19,81;155,06;29,5
395;22,9;13,32;11,12;62,56;29,5
395;36,37;21,08;20,29;176,1;29,5
396;23,06;11,72;9,06;46,04;29,5
396;36,53;19,64;19,19;155,87;29,5
397;36,53;19,42;16,02;129,29;29,5
398;23;12,96;10,37;58,01;29,5
398;36,47;19,88;21,03;172,73;29,5
399;24,05;12,06;6,15;26,84;25,5
399;37,52;15,64;15,2;89,63;25,5
400;24,51;13,8;7,62;35,26;29,5
400;37,98;21,38;16,77;128,75;29,5
401;24,21;12,42;9,42;47,26;27,5
401;37,68;19,3;19,58;155,37;27,5
402;37,68;20,08;19,59;163,53;29,5
403;24,47;14,38;9,44;49,52;29,5
403;37,94;20,66;18,05;136,66;29,5
404;24,18;10,46;5,89;23,18;25,5
404;37,65;16,04;15,44;97,84;25,5
405;24,08;15,06;13,34;81,46;29,5
405;36,1;21,52;22,92;206,64;29,5
405;48,52;23,92;29,55;292,85;29,5
405;60,02;27,95;33,61;391,95;29,5
405;71,68;30,9;36,94;479,51;29,5
406;22,31;12,08;12,48;60,32;29,5
406;34,03;19,98;22,92;194,97;29,5
406;45,01;23,36;28,45;280,64;29,5
406;59,1;26,05;34,35;376,64;29,5
407;34,03;20,36;23,64;198,38;31,5
407;45,01;25,4;29,34;314,52;31,5
407;59,1;27,83;35,73;404,53;31,5
408;34,03;19,28;24,51;188,75;29,5
408;45,01;22,38;30,28;266,95;29,5
408;59,1;27,25;35,67;398,31;29,5
409;23,32;15,06;13,75;85,55;29,5
409;35,05;20,08;24,28;194,83;29,5
409;46,02;25,16;29,71;312,48;29,5
409;60,12;27,9;35,34;419,05;29,5
410;22,93;12,22;12,64;55,69;29,5
410;34,66;17,72;20,43;129,9;29,5
410;45,63;23,7;24,2;208,61;29,5
410;59,72;27,02;28,55;287,49;29,5
411;34,66;19,86;24,5;198,41;29,5
411;45,63;24,06;30,06;297,75;29,5
411;59,72;26,75;35,35;375,92;29,5
412;34,66;19,64;24,55;191,15;29,5
412;45,63;24,08;30,22;291,41;29,5
412;59,72;26,77;35,51;387,58;29,5
413;34,66;19,72;23,69;187,94;29,5
413;45,63;24,66;29,35;294,65;29,5
413;59,72;27,68;34,65;382,81;29,5
414;35,12;17,86;19,57;149,15;29,5
414;46,09;23,06;25,95;253,94;29,5
414;60,18;26,63;32,56;359,82;29,5
415;35,12;19,92;24,38;204,55;29,5
415;46,09;24,94;30,36;318,22;29,5
415;60,18;27,6;35,8;414,57;29,5
416;23,65;13,46;10,32;59,15;29,5
416;34,76;18,5;16,09;125,31;29,5
416;48,52;22,76;22,21;206,99;29,5
417;25,33;13,48;8,81;54,63;25,5
417;36,43;16,86;12,71;91,5;25,5
417;50,2;21,26;17,18;141,98;25,5
417;63,07;24,12;20,88;202,58;25,5
418;25,43;13,32;10,66;61,14;27,5
418;36,53;17,08;16,67;120,33;27,5
418;50,3;24,22;22,65;223,3;27,5
418;63,17;25,9;26,94;293,38;27,5
419;25,43;15,52;14,41;100,24;29,5
419;50,3;25,26;28;286,94;29,5
419;63,17;27,34;32,73;372,42;29,5
420;36,53;15,82;12,97;91,04;25,5
420;50,3;20,18;18,58;155,84;25,5
420;63,17;22,32;22,07;207,44;25,5
421;24,38;11,3;7,26;32,78;27,5
421;35,48;17,42;14,73;109,58;27,5
421;49,24;21,8;21,99;202,68;27,5
421;62,12;26,38;26,99;300,71;27,5
422;24,74;8,4;4,82;16,42;23,5
423;24,67;10,62;7,49;35,6;25,5
423;36,83;16,2;15,42;111,34;25,5
423;48,62;21,72;20,24;200,91;25,5
423;61,01;23,87;24,48;261,62;25,5
423;73,65;26,73;28,17;325,02;25,5
424;36,83;16,46;13,09;92,19;25,5
424;48,62;21,12;18,09;170,66;25,5
424;61,01;23,7;21,89;224,64;25,5
424;73,65;25,68;25,06;275,45;25,5
425;29,86;14,82;9,54;56,23;27,5
425;36,63;18,56;13,6;94,03;27,5
425;53,19;25,56;22;213,65;27,5
426;29,86;14,38;11,62;72,05;29,5
426;36,63;18,54;16,18;122,44;29,5
426;53,19;25,72;24,29;250,39;29,5
427;29,86;16,44;13,44;92,16;29,5
427;36,63;18,7;18,46;140,11;29,5
427;53,19;26,46;26,44;282,79;29,5
428;29,7;17,66;16,72;130,92;29,5
428;36,47;21,39;20,1;171,08;29,5
429;24,7;14,34;12,66;74,72;29,5
429;37,58;17,46;20,69;139,25;29,5
429;47,8;20,5;25,22;199,88;29,5
429;60,45;27,02;29,85;317,48;29,5
429;70,89;29,52;31,81;353,35;29,5
430;29,57;18,7;17,87;128,52;29,5
430;42,44;23,28;23,38;206,71;29,5
430;52,66;26,24;26;257,52;29,5
430;65,31;29,32;29,49;359,83;29,5
430;75,76;31,03;31,99;395,98;29,5
431;24,51;13;12,01;66,73;29,5
431;37,65;21,18;21,66;197,48;29,5
431;47,6;24,16;25,53;268,17;29,5
431;61,5;26,83;29,5;344,94;29,5
431;76,15;30,03;31,87;413,15;29,5
432;24,51;11,46;11,93;57,05;27,5
432;37,65;18,74;20,6;165,31;27,5
432;47,6;22,7;25,19;249,9;27,5
432;61,5;25,45;30,03;348,53;27,5
432;76,15;28,82;32,76;426,94;27,5
433;37,65;19,86;18,75;165,03;29,5
433;47,6;22,32;23,11;227,77;29,5
433;61,5;26,73;27,55;309,18;29,5
433;76,15;30,38;29,92;382,73;29,5
434;25,53;13,48;10,7;64,26;27,5
434;38,67;18,66;19,2;138,12;27,5
434;48,62;19,68;23,12;201,5;27,5
434;62,52;25,73;27,02;309,33;27,5
434;77,17;29,58;30,15;384,68;27,5
435;38,67;20,38;21,83;188,47;27,5
435;48,62;22,92;25,94;255,19;27,5
435;62,52;25,58;30,21;339,02;27,5
435;77,17;29,52;33,04;428,25;27,5
